Station number,Element,Date,Metadata,Adjustment,Seasonal,Cumulative ,Monthly,Spike?,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Notes
1019,Max,16/09/1998,Merge,-0.07,"Spr 0.36, sum -0.42",-0.1,,,1021
1019,Min,16/09/1998,Merge,-1.18,,-1.1,,,1021
1019,Max,23/08/1991,Move,-0.18,Winter -0.62,-0.3,,,1025,1013,2014,2056,1007,2032,3051,14850
1019,Min,23/08/1991,Move,0.5,,-0.6,,,1025,2056,1013,14938,2014,14901,3051,2032,14825,14840
1019,Min,1/01/1988,,0.33,,-0.4,,,1013,14938,2014,14901,3051,2032,14825,14840,14850
1019,Max,1/01/1986,,-0.73,,-1,,,1013,2032,1009,14850,3069
1019,Min,1/01/1976,,-0.45,,-0.8,,,1012,2038,14908,1013,2014,14901,14902,2032,14825,14840
1019,Max,1/01/1960,,0.71,,-0.3,Yes,,1005,1007,2012,2014
1019,Min,1/01/1943,,-2.93,,-3.4,Yes,,1005,14902,14905
2012,Max,1/01/2004,,0.32,,0.3,,,2032,13007,15666,2064,14829,1018,3093,14840,2056,2014,No adjustment for 2012/2071 merge
2012,Max,1/01/1971,,0.36,,0.7,,,2032,14829,3006,2014,14825,2038,3040,15528,1013,15089
2012,Min,1/01/1969,,0.8,,0.8,,,2032,3006,15528,14825,2038,15525,15085
2012,Min,1/01/1959,,-0.51,,0.2,Yes,,3006,1005,15085
2012,Max,1/11/1949,Merge,0.57,,0.6,,,2011,,,,,,,,,,Only 1949-52 used in merge
2012,Min,1/11/1949,Merge,1.44,,1.5,,,2011,,,,,,,,,,Only 1949-52 used in merge
2012,Max,1/01/1938,,-0.72,,-0.2,Yes,,15087,15540,1005,37010
2012,Min,1/01/1927,,0.58,,2.1,Yes,,1005,15087,3002,,,,,,,,Some correlations in 0.5-0.6 range
2012,Min,1/01/1922,,-0.82,,1.2,Yes,,1005,15087,3002,,,,,,,,Some correlations in 0.5-0.6 range
2012,Max,1/01/1920,,-0.37,,-0.6,Yes,,15087,15540,1005,37010
3003,Min,1/01/2002,,0.6,,0.6,,,3096,3032,3030,3093,1018,3057
3003,Min,2/08/1995,Merge,-0.3,,0.4,,,3089
3003,Min,1/01/1992,,-0.48,,-0.2,,,3032,3030,3007,3057
3003,Min,1/01/1958,,0.38,,0.2,Yes,,2012,3006,3004
3003,Min,11/08/1939,Merge,0.17,Spring 0.74,0.2,,,3002,,,,,,,,,,Only 1939-44 used in merge
3003,Max,1/12/1921,Screen,-0.26,Spr -0.4 sum -0.3,-0.3,Yes,,4002,3007,,,,,,,,,Some correlations in 0.5-0.6 range
4032,Max,10/12/1998,Merge,-0.28,Win -0.46 sum -0.5,-0.3,,,4104
4032,Min,1/01/1975,,-0.51,,-0.3,Yes,Yes,4074,4020,5061,4035,4027,5008,4027,5026,3030,5017,Spike 1972-75
4032,Min,1/01/1975,,0.31,,0.3,,,4074,4020,5061,4035,4027,5008,4027,5026,3030,5017,1969-71 used in adjustment
4032,Min,1/01/1968,,-0.51,,-0.2,,,4020,4035,4027,5008,3059,4019,7062
4032,Max,1/01/1959,,0.45,,0.2,,,4020,5026,5017
4032,Min,1/01/1954,,0.37,,0.2,Yes,,4020,4035,7062
4032,Max,1/01/1951,,0.32,,0.3,Yes,,4035,4020,4027,5017
4032,Min,1/07/1948,Move (n),-1.53,,-1.5,Yes,,4020,4035,7062,,,,,,,,No adjustment required for max
4032,Max,1/05/1943,Move,0.33,,0.4,Yes,,4035,4020,4027,5017
4032,Min,1/05/1943,Move,-0.28,"Spr -0.33, sum -0.47",-1.8,Yes,,4020,4035,7062
4032,Max,1/01/1937,,0.89,,1.2,Yes,,4035,4020,4027
4106,Max,2/10/1997,Move,-0.71,,-0.7,,,13030,5026,4035,5069,4032,13017,13011,4019,7080,5008,No adjustment for 4020/4106 merge
4106,Min,2/10/1997,Move,-0.59,,-0.6,,,4032,13030,4035,5026,,,,,,,"Adjustments across moves in 1995 and 1997, using 1998-2002 and 1990-94 as reference"
4106,Max,19/07/1988,Move,0.32,,-0.4,,,4084,4074,4043,13030,5026,7151,4035,7178,5069,4032
4106,Max,1/08/1984,Move,0.57,,0.2,,,4084,4074,4043,13030,5026,7151,4035,7178,5069,4032
4106,Max,1/05/1967,Move,-0.41,,-0.3,,,5026,4035,7062,4032,13017,4019,5008,,,,1960-64 used as ref (1965 move)
4106,Min,1/05/1967,Move,0.56,,-0.1,,,4032,4035,5026,7062,,,,,,,1960-64 used as ref (1965 move)
4106,Max,1/11/1944,Move,-0.52,,-0.7,Yes,,13012,4035,7062
5026,Max,1/01/1985,,0.47,,0.5,,,4043,7151,4020,7178,4084,5069,4074,4035,13030,7080
5026,Max,1/01/1979,,-0.49,,0,,,4043,5064,4079,7151,4027,4020,4084,5069,4074,4035
6011,Min,1/01/1975,,-0.53,,-0.5,,,6025,6022,7057,7064,7045,7017,8093,7161,13012,8095
6011,Max,1/01/1973,,0.61,,0.6,,,6087,8251,8051,6025
6011,Min,1/01/1964,Obs time,-0.26,,-0.8,,,6025,7057,7091,7017,8093,8095,13012,12052,12046,8028
6011,Max,10/01/1945,Merge,0.69,,0.7,,,6062
6011,Min,10/01/1945,Merge,-1.04,,-1.1,,,6062
6011,Max,1/09/1931,Screen,-0.01,"Aut 0.37, sum -0.30",0.7,Yes,,8050,8028,8095,,,,,,,,Some correlations in 0.5-0.6 range
6011,Min,1/09/1931,Screen,-0.44,,-1.5,Yes,,6025,7091,7017,8093,13012,8095,7046,12052,8028
6011,Min,1/01/1918,,-0.29,"Aut -0.50, win -0.33",-1.8,Yes,,6025,7091,7017,13012,12052,8028
7045,Max,11/12/1998,Merge,-0.25,"Spr -0.34, sum -0.32",-0.3,,,7204
7045,Min,11/12/1998,Merge,0.3,,0.3,,,7204
7045,Min,25/04/1950,Move (n),0.29,Autumn 0.87,0.3,Yes,,7017,12008,13012,7064,12052,7091,12045,6022,12039,12038
7045,Max,1/01/1946,Site env,-0.93,,-0.9,Yes,,7017,12008,13012,7064,7091,6022,12045,12052,12039,12038
7045,Max,1/01/1934,,0.54,,-0.4,Yes,,7017,13012,7064,7091,12045,12052,12039,12074,10093,7062
7045,Min,1/01/1934,,1.26,,1.5,Yes,,7017,13012,7064,12052,7091,12045,12039,8095,8093,12074
7045,Min,1/01/1930,,-0.85,,0.7,Yes,,7017,13012,7064,12052,7091,12045,12039,8095,8093,12074
7045,Max,1/01/1929,,-0.77,,-1.1,Yes,,7017,13012,7064,7091,12045,12052,12039,12074,10093,7062
8039,Min,1/01/1960,,0.45,,0.4,,,10007,8138,8025,8151,8093,10035,10093,9034,10073,12074
8051,Min,1/01/2005,,0.5,,0.5,,,9131,8296,9178,8137,8225,8025,8251,8297,9114,10286
8051,Max,1/01/1989,,-0.33,,-0.3,,,9131,8225,8251,9114,9034,8095,9021,9037,9151,9194
8051,Min,1/01/1966,,-0.2,Summer -0.60,0.3,,,8028,8025,8093,8039,8151,8138,8095,10035,10007,10111,1959-63 used as reference (obs time change 1964)
8051,Max,1/01/1942,Move (n),1.45,,1.2,,,10073,8137,10515,10536,10111,10626,10092,10612,10007,10524,Overlap with 8050 not used for adjustment
8051,Min,1/01/1942,Move (n),-1.28,,-0.9,,,8028,8093,8151,9034,8095,10111,10144,10073,10093,12074,Overlap with 8050 not used for adjustment
8051,Max,1/01/1927,Move,-0.53,,0.7,,,8028,9034,8151,9534,10111,10648,6062,9510,10614,10579
